ctmt,ordem_sorteio,seed,regiao,porte,n_trechos,etapa,status,duracao_s,motivo,resumo,n_ties,n_opcoes,score_viaveis,trecho_falta
RCP33308,1,91,Tijuca,G,1066,recorte,sucesso,3.487,,"18684 feições em 25 camada(s); 2 CTMT(s): RCP33308, RCP9882",,,,
RCP33308,1,91,Tijuca,G,1066,grafo,sucesso,0.142,,"1547 trechos, 66 chaves; 1 tie(s) ligadas a RCP33308",1,,,
RCP33308,1,91,Tijuca,G,1066,gpkg2dss,sucesso,1.196,,master do cluster em Master_DU01_base.dss,,,,
RCP33308,1,91,Tijuca,G,1066,fluxo_base,sucesso,1.028,,"Vmin 0.020 pu, perdas 489.2 kW",,,,
RCP33308,1,91,Tijuca,G,1066,deteccao_ties,sucesso,0.0,,1 tie(s) ligadas a RCP33308,1,,,
RCP33308,1,91,Tijuca,G,1066,injecao_falta,sucesso,0.0,,"trecho 12320339, religador 10924927",,,,12320339
RCP33308,1,91,Tijuca,G,1066,restore_options,sucesso,0.562,,"1 opção(ões), 1 viável(is)",1,1,1,12320339
SAT1960,2,91,Centro,P,65,recorte,sucesso,3.314,,"2139 feições em 25 camada(s); 2 CTMT(s): SAT1960, SAT9523",,,,
SAT1960,2,91,Centro,P,65,grafo,sucesso,0.058,,"549 trechos, 139 chaves; 0 tie(s) ligadas a SAT1960",0,,,
SAT1960,2,91,Centro,P,65,gpkg2dss,sucesso,0.208,,master do cluster em Master_DU01_base.dss,,,,
SAT1960,2,91,Centro,P,65,fluxo_base,sucesso,0.075,,"Vmin 0.842 pu, perdas 20.0 kW",,,,
SAT1960,2,91,Centro,P,65,deteccao_ties,sucesso,0.0,,0 tie(s) ligadas a SAT1960,0,,,
SAT1960,2,91,Centro,P,65,injecao_falta,sucesso,0.0,,"trecho 12416163, religador 10925396",,,,12416163
SAT1960,2,91,Centro,P,65,restore_options,sucesso,0.001,,"0 opção(ões), 0 viável(is)",0,0,0,12416163
