CTMT_A,CTMT_B,SUB_A,SUB_B,SUB_NOME_A,SUB_NOME_B,CONJ_A,CONJ_B,CONJ_NOME_A,CONJ_NOME_B,n_ties_campo,n_ties_telecomandadas,chaves,chaves_telecomandadas
QMD004,QMD008,18520893,18520893,SETD QUEIMADOS,SETD QUEIMADOS,15698,15043,QUEIMADOS AEREO,SEROPEDICA AEREO,13,1,127128201;127484651;127484663;20660475;20683011;20683270;20696241;20714700;20738822;483023550;628560015;693047578;803034051,628560015
MTO00004,MTO0003,29148432,29148432,SETD MATO ALTO,SETD MATO ALTO,16898,16898,MATO ALTO,MATO ALTO,10,4,23740077;23741061;300159275;472636302;550394086;609603254;628976635;689938511;780920387;963054087,550394086;628976635;689938511;963054087
MTO00002,PCI0016,29148432,450101398,SETD MATO ALTO,SETD PACIENCIA,16900,16900,PACIENCIA,PACIENCIA,10,3,135213795;25635377;25635426;25679915;488614301;488614327;489112573;916893595;960168517;977348806,916893595;960168517;977348806
TRS004,TRS014,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15087,15087,TRES RIOS AEREO AT/MT,TRES RIOS AEREO AT/MT,10,2,1005543161;149439826;179493549;20718193;20805059;20805108;20805115;20805185;32278254;801127346,1005543161;801127346
CEN001,CEN003,18520353,18520353,SETD CENTENARIO,SETD CENTENARIO,15074,15089,CENTENARIO AEREO AT/MT,CENTENARIO AEREO MT/MT,10,1,1004920532;20673715;20674541;20674555;20674604;20674618;20714154;20714287;20758578;20776602,1004920532
SCI003,SCI004,18520299,18520299,SETD SANTA CECILIA,SETD SANTA CECILIA,15082,15082,SANTA CECILIA AEREO AT/MT,SANTA CECILIA AEREO AT/MT,10,1,125569442;20668990;20719866;20728686;20745405;20745440;20745510;29465509;29851948;711103577,711103577
QMD002,QMD008,18520893,18520893,SETD QUEIMADOS,SETD QUEIMADOS,15043,15043,SEROPEDICA AEREO,SEROPEDICA AEREO,9,2,110231356;20668262;20668311;20683130;20683151;20729127;30050891;449504525;632317272,110231356;632317272
CAM006,CAM011,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,9,1,20720041;20720083;20720111;20720118;20720188;20720216;20720223;20720230;654654734,654654734
CAM007,CAM011,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,9,1,20805339;20805381;20805409;20805437;20805451;20805472;20805556;20805577;716982063,716982063
CAM007,CAM014,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,9,1,1000755409;20805325;20805332;20805353;20805374;20805402;20805535;20805542;20805563,1000755409
TRS001,TRS008,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15087,15087,TRES RIOS AEREO AT/MT,TRES RIOS AEREO AT/MT,9,0,20770047;20770068;20774376;20774383;20774404;20804107;20804149;34974796;926981577,
