grupo,caso,descricao,cluster,origem,ctmt_principal,ctmts_cluster,trecho_falta,criterio_falta,religador,instante_id,instante,hora,com_gd,ordem,chave,fonte,clientes_ucbt,clientes_total,tlcd,convergiu,viavel,margem_disjuntor,i_disjuntor_a,i_nominal_a,vmin_mt_pu,vmin_mt_barra,vmax_mt_pu,vmax_mt_barra,carregamento_max_mt_pct,perdas_kw,motivos,ajustes
alimentador,BRI001,maior penetração da #97/#35,cluster_BRI001-BRI00005-BRI002-BRI003-ESP019-ITG0007-ITG0010-SRD0005-SRD002,maior penetração da #97/#35,BRI001,BRI00005;BRI002;BRI003;ESP019;ITG0007;ITG0010;SRD0005;SRD002;BRI001,27774260,maior trecho do tronco do CTMT principal,20654267,meio_dia_com_gd,meio-dia com GD,12,True,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
alimentador,BRI001,maior penetração da #97/#35,cluster_BRI001-BRI00005-BRI002-BRI003-ESP019-ITG0007-ITG0010-SRD0005-SRD002,maior penetração da #97/#35,BRI001,BRI00005;BRI002;BRI003;ESP019;ITG0007;ITG0010;SRD0005;SRD002;BRI001,27774260,maior trecho do tronco do CTMT principal,20654267,ponta_noite_sem_gd,ponta da noite sem GD,19,False,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,meio_dia_com_gd,meio-dia com GD,12,True,1,20729022,SRD003,0,7,False,True,True,0.9984084094743091,0.9414257959462254,591.5,1.0449997082665026,srd002_mt_525788,1.0452948804000233,srd002_mt_466772,0.46462916741891325,680421082.1846169,,
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,meio_dia_com_gd,meio-dia com GD,12,True,2,915570991,SRD0005,0,7,False,True,False,0.9947982135373669,3.4487844247257478,663.0,6.201941175358822e-05,srd0005_mt_362252_tr,1.046093204662218,srd0005_mt_94934,0.5151164024041887,680403208.4567672,"Vmin MT 0,000 pu < 0,93",
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,meio_dia_com_gd,meio-dia com GD,12,True,3,977979996,BRI001,0,7,False,True,False,0.9946999243519304,2.4735453049541047,466.7,2.3730132236830964e-05,bri001_mt_389223_tr,1.0457944380264643,bri001_mt_617176,0.6624070495935294,679847032.0531584,"Vmin MT 0,000 pu < 0,93",
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,ponta_noite_sem_gd,ponta da noite sem GD,19,False,1,20729022,SRD003,0,7,False,False,False,0.6915939508068157,182.4221780977685,591.5,1.03245588917125,srd002_mt_1348606,1.0449995175182922,srd003_mt_51567,39.087779383332915,9.97389623447013e+246,fluxo não convergiu,maxiterations=100; vminpu=0.9; model=2
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,ponta_noite_sem_gd,ponta da noite sem GD,19,False,2,977979996,BRI001,0,7,False,False,False,0.5265413277041573,220.9631623604698,466.7,1.0216293312608626e-05,bri001_mt_389223_tr,1.0449993559456812,bri001_mt_51575,59.43067457400722,9.97389623447013e+246,"fluxo não convergiu; Vmin MT 0,000 pu < 0,93",maxiterations=100; vminpu=0.9; model=2
alimentador,SRD002,segunda maior penetração da #97/#35,cluster_SRD002-BRI00005-BRI001-ESP018-ESP020-SRD0005-SRD003,segunda maior penetração da #97/#35,SRD002,BRI00005;ESP020;SRD0005;SRD002;SRD003;BRI001;ESP018,363664978,maior trecho do tronco do CTMT principal,20654148,ponta_noite_sem_gd,ponta da noite sem GD,19,False,3,915570991,SRD0005,0,7,False,False,False,-inf,inf,663.0,inf,srd0005_mt_52770,inf,srd0005_mt_52770,inf,,"fluxo não convergiu; Vmax MT inf pu > 1,05; 7492 trecho(s) MT acima de 100 % (Line.smt_25440125 inf %, Line.smt_260474046 inf %, Line.smt_20942364 inf %); I disjuntor inf A > 663 A nominal",maxiterations=100; vminpu=0.9; model=2
alimentador,TRS003,alta penetração convergente na #97,cluster_TRS003-TRS004-TRS005-TRS008-TRS013,alta penetração convergente na #97,TRS003,TRS005;TRS003;TRS004;TRS013;TRS008,491040446,maior trecho do tronco do CTMT principal,489933986,meio_dia_com_gd,meio-dia com GD,12,True,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
alimentador,TRS003,alta penetração convergente na #97,cluster_TRS003-TRS004-TRS005-TRS008-TRS013,alta penetração convergente na #97,TRS003,TRS005;TRS003;TRS004;TRS013;TRS008,491040446,maior trecho do tronco do CTMT principal,489933986,ponta_noite_sem_gd,ponta da noite sem GD,19,False,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
cenario,ipanema_9210,"Falta permanente no tronco de PTS0001 LDS 9210, a 144 m da SE Posto Seis: as 35 NA são pátio de manobra da SE (EM_SUB) — nenhuma chave de campo restaura; o agente deve reconhecer a ausência de opção e recomendar despacho de equipe (cenário negativo).",ipanema,cenário ipanema,PTS0001,PTS4022;PTS9088;PTS9924;PTS0001,11409068,cenário nomeado,10933610,meio_dia_com_gd,meio-dia com GD,12,True,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
cenario,ipanema_9210,"Falta permanente no tronco de PTS0001 LDS 9210, a 144 m da SE Posto Seis: as 35 NA são pátio de manobra da SE (EM_SUB) — nenhuma chave de campo restaura; o agente deve reconhecer a ausência de opção e recomendar despacho de equipe (cenário negativo).",ipanema,cenário ipanema,PTS0001,PTS4022;PTS9088;PTS9924;PTS0001,11409068,cenário nomeado,10933610,ponta_noite_sem_gd,ponta da noite sem GD,19,False,0,,,0,0,False,False,False,,,,,,,,,,sem opções de restauração,
