COD_ID,NOME,SUB,SUB_NOME,MUN,CONJ_CODIGO,CONJ_NOME,kVA_instalado,kW_DER,n_DER,empreendimentos_mmgd,potencia_kw_mmgd,potencia_kw_bdgd_mesmas_chaves,diferenca_kw_mmgd_menos_bdgd_mesmas_chaves,diferenca_kw_mmgd_menos_bdgd_total,penetracao_gd_pct,cobertura_vs_bdgd_pct,fonte_predominante,classe_predominante,subgrupo_predominante,periodo_primeira_data,periodo_ultima_data
CEN002,LSA CAMBARA,18520353,SETD CENTENARIO,3306206,15074,CENTENARIO AEREO AT/MT,102465.0,24577.247,596,572,19593.27,19699.909999999996,-106.63999999999578,-4983.977,19.12191480017567,79.72117462952625,UFV — Radiação solar,Comercial (CO),A4,2016-07-01,2025-12-31
SRD002,LSA RADIO,18521154,SETD SEROPEDICA,3305554,15043,SEROPEDICA AEREO,34625.0,16250.64,139,134,15744.08,15773.980000000001,-29.900000000001455,-506.56,45.47026714801444,96.88283046083109,UFV — Radiação solar,Comercial (CO),A4,2019-05-06,2025-11-30
CEN003,LSA QUIRINO,18520353,SETD CENTENARIO,3306206,15089,CENTENARIO AEREO MT/MT,88332.5,21551.351,298,285,13418.23,13752.749999999998,-334.5199999999986,-8133.121,15.190592364078906,62.26166517356615,UFV — Radiação solar,Comercial (CO),A4,2019-02-23,2025-12-31
BRI001,LSA SAMBAR,18521208,SETD BRISAMAR,3302007,15006,BRISA MAR,20555.0,15464.219,37,31,12165.25,12167.490000000002,-2.2400000000016007,-3298.969,59.183896862077354,78.66708302566073,UFV — Radiação solar,Comercial (CO),A4,2019-12-20,2025-09-17
TRS014,LSA INEMA,18520326,SETD TRES RIOS,3306008,15087,TRES RIOS AEREO AT/MT,75195.0,12344.452,364,345,11319.39,10414.29,905.0999999999985,-1025.062,15.053381208856973,91.69617249919236,UFV — Radiação solar,Comercial (CO),A4,2019-01-07,2025-12-31
INF0003,LSA CARMENSE I,449886789,SETD INFLUENCIA,3301207,15091,SAPUCAIA,41210.0,14839.853,253,246,10729.31,10740.619999999999,-11.30999999999949,-4110.543,26.035695219606893,72.30064880022734,UFV — Radiação solar,Comercial (CO),A4,2019-04-30,2026-01-31
BRI00005,LSA ZELITUS,18521208,SETD BRISAMAR,3302007,15006,BRISA MAR,32947.5,11021.206,188,159,9151.150000000001,9152.48,-1.3299999999981083,-1870.056,27.774944988238868,83.03220173908373,UFV — Radiação solar,Comercial (CO),A4,2019-10-31,2025-12-15
TRS011,LSA BASTILHA,18520326,SETD TRES RIOS,3306008,15088,TRES RIOS AEREO MT/MT,32167.5,9375.478,115,110,9021.280000000002,9068.440000000002,-47.159999999999854,-354.198,28.04470350509055,96.22208062351598,UFV — Radiação solar,Comercial (CO),A4,2018-05-18,2025-12-31
TRS013,LSA DONCARLOS,18520326,SETD TRES RIOS,3306008,15088,TRES RIOS AEREO MT/MT,43925.0,9032.199,196,178,7760.4,7775.139999999999,-14.739999999999782,-1271.799,17.667387592487195,85.9192761364093,UFV — Radiação solar,Comercial (CO),A4,2019-03-25,2025-12-18
SCI006,LSA TAMANDARE,18520299,SETD SANTA CECILIA,3300308,15090,SANTA CECILIA AEREO MT/MT,52527.5,14746.708,237,222,7551.36,7571.36,-20.0,-7195.348,14.376012564846985,51.20708974504682,UFV — Radiação solar,Comercial (CO),A4,2019-02-21,2025-12-16
