cod_municipio_ibge,municipio,empreendimentos_sem_chave,potencia_kw_sem_chave,alimentadores_bdgd,conjuntos_bdgd
3304557,Rio de Janeiro,4574,57534.68,1406,77
3305554,Seropédica,48,11765.449999999999,5,1
3302007,Itaguaí,104,9174.88,15,3
3306206,Vassouras,35,7011.48,6,2
3304508,Rio das Flores,9,6862.9,0,0
3303500,Nova Iguaçu,447,5268.44,76,7
3301702,Duque de Caxias,344,5202.02,78,7
3306305,Volta Redonda,330,4385.35,33,4
3302908,Miguel Pereira,57,4327.66,0,0
3302270,Japeri,21,4206.0,0,0
3300407,Barra Mansa,190,4056.2000000000003,16,2
3303708,Paraíba do Sul,65,3495.17,0,0
3303856,Paty do Alferes,70,3048.98,0,0
3300308,Barra do Piraí,76,2553.14,8,2
3302809,Mendes,11,2243.2799999999997,0,0
3303609,Paracambi,42,1707.29,0,0
3305109,São João de Meriti,140,1614.81,60,5
3306008,Três Rios,116,1346.04,15,3
3303203,Nilópolis,78,1071.29,0,0
3305406,Sapucaia,31,964.41,2,1
3301207,Carmo,29,954.96,5,2
3300456,Belford Roxo,122,943.72,31,3
3306107,Valença,59,827.85,0,0
3302858,Mesquita,101,782.87,21,2
3303955,Pinheiral,48,706.13,0,0
3304144,Queimados,56,538.8100000000001,23,5
3304003,Piraí,41,504.06,2,1
3304128,Quatis,11,233.6,0,0
3304409,Rio Claro,10,157.92,0,0
3300951,Comendador Levy Gasparian,16,142.76999999999998,0,0
3301801,Engenheiro Paulo de Frontin,11,105.5,0,0
