tarefa,nivel,cluster,repeticao,acerto,obtido,esperado,sequencia,referencia,ordem,precisao,rodadas,tokens_prompt,tokens_completion,tokens_total,tokens_informados,chars_ferramentas,segundos_llm,segundos_ferramentas,segundos_total,replanejamentos,recusas,erro,resposta,provider,modelo,exemplos,compactado,seed,data
S08,simple,taquara,2,1,17.979,17.979,"[""get_topology""]","[""get_topology""]",1.0,1.0,2,14176,45,14384,1,16486,2.371,0.004,2.375,0,0,,O alimentador TQR33859 tem 17.979 km de rede MT.,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
H02,hard,tijuca,2,1,45.98,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,4,32248,88,33784,1,18951,8.842,8.068,16.911,0,0,,"A melhor opção viável de restauração é a chave 974020904, alimentada pelo CTMT ALC9946. A margem do disjuntor para esta opção é de 45.98%.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M05,medium,ipanema,2,1,404.0,404,"[""downstream_customers""]","[""downstream_customers""]",1.0,1.0,2,5032,58,5161,1,159,2.141,0.001,2.142,0,0,,"Se a chave 505111870 (PTS0001) abrir, 404 clientes UCBT ficarão sem tensão.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M03,medium,taquara,2,1,1361.0,1361,"[""downstream_customers""]","[""downstream_customers""]",1.0,1.0,2,5128,89,5302,1,165,2.306,0.007,2.313,0,0,,"Se a chave 640922462 (TQR33859) for aberta, 1361 UCBTs perderão tensão. Além disso, 1 UCMT, 25 transformadores e 2152.5 kVA serão afetados.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
S04,simple,tijuca,2,1,436.0,436,"[""get_topology""]","[""get_topology""]",1.0,1.0,2,10570,45,10791,1,10182,2.253,0.004,2.258,0,0,,O alimentador URG29983 é composto por 436 trechos de rede MT.,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
H07,hard,ipanema,1,1,479.0,479,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,4,45553,86,46246,1,17807,9.617,0.026,9.643,0,0,,"Após isolar a zona em falta no trecho 11409068 do CTMT PTS0001, 479 UCBTs sãs continuam sem tensão. Não existem 0 opções de restauração disponíveis.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M13,medium,ipanema,1,1,1730.0,1730,[],[],1.0,1.0,1,2719,116,3108,1,0,2.705,0.0,2.705,0,0,,"Foi registrada uma falta transitória no trecho 11409068 do alimentador PTS0001. O religador 10933610 atuou, abrindo e religando com sucesso após um tempo morto de 0.5 segundos. Durante esse período, 1730 clientes ficaram sem tensão.

Não há necessidade de manobras, pois o religador restabeleceu o fo",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
H10,hard,taquara,1,1,"""11056672""","[""11053522"", ""11053620"", ""11056672"", ""752622332"", ""134733185"", ""258481641""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,5,40417,728,43629,1,15067,22.457,9.296,31.753,0,0,,"## Resumo para o operador:

**Falta Permanente:**
*   **Trecho:** 260547810
*   **CTMT:** TQR33862
*   **Religador:** 10924213
*   **Clientes sem tensão inicial:** 4351 clientes (UCBT)

**Isolamento:**
*   **Chaves a abrir:** 479996584, 536994950, 57067405
*   Após o isolamento e religamento do tron",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
S09,simple,taquara,1,1,82.0,82,"[""get_topology""]","[""get_topology""]",1.0,1.0,2,13008,39,13125,1,14592,1.954,0.003,1.957,0,0,,O alimentador TQR0007 possui 82 transformadores de distribuição.,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
H03,hard,tijuca,1,1,4.0,4,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,4,32039,47,32403,1,18950,5.296,8.051,13.347,0,0,,Existem 4 opções de restauração eletricamente viáveis.,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
S05,simple,ipanema,2,1,1816.0,1816,"[""get_topology""]","[""get_topology""]",1.0,1.0,2,5850,38,5963,1,1811,1.693,0.003,1.696,0,0,,O alimentador PTS9088 possui 1816 clientes UCBT.,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M07,medium,tijuca,2,1,4036.0,4036,"[""isolate_fault""]","[""locate_fault"", ""isolate_fault""]",0.5,1.0,2,11396,33,11726,1,7876,2.781,0.008,2.789,0,0,,"Após isolar a zona em falta, 4036 UCBTs sãs continuarão sem tensão.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M06,medium,tijuca,1,1,35.0,35,"[""locate_fault""]","[""locate_fault""]",1.0,1.0,2,6423,37,6544,1,1546,1.738,0.004,1.742,0,0,,A zona de falta no trecho 11304252 é formada por 35 nós (PACs).,gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
M01,medium,tijuca,1,1,1307.0,1307,"[""downstream_customers""]","[""downstream_customers""]",1.0,1.0,2,5118,62,5299,1,166,2.34,0.002,2.342,0,0,,"Se a chave 1006470683 (ALC9925) abrir, 1307 UCBTs ficarão sem tensão.",gemini,gemini-2.5-flash,1,0,42,2026-09-11T11:31:31+00:00
