tarefa,nivel,cluster,repeticao,acerto,obtido,esperado,sequencia,referencia,ordem,precisao,desnecessarias,rodadas,tokens_prompt,tokens_completion,tokens_total,tokens_informados,chars_ferramentas,segundos_llm,segundos_ferramentas,segundos_total,replanejamentos,recusas,erro,resposta,provider,familia,modelo,exemplos,compactado,seed,data
FT02,hard,SAT1960-SAT9523,2,0,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",0.75,1.0,0,7,22653,965,23618,1,1147,19.211,0.018,19.229,2,0,sem proposta após 2 replanejamento(s): o modelo encerrou sem chamar propose_plan (ou o verificador recusou todas),"Há uma falta permanente no trecho 12416163 do CTMT SAT1960, com o religador 10925396 aberto e 1 cliente UCMT sem tensão. A falta foi localizada e isolada, abrindo a chave de fronteira 10925396. Não há opções viáveis de restauração para fechar alguma chave NA e religar clientes desligados, conforme o",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT05,hard,ITP00005-ITP33172,1,1,"""456765966""","[""456765966""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,21159,578,21737,1,18695,11.052,1.512,12.565,0,0,,"Resumo para o operador:

- Falta permanente no trecho 92794304 do CTMT ITP00005, religador 10924304 aberto, 1334 clientes (1333 UCBT e 1 UCMT) sem tensão.
- Localizada a falta entre as chaves 10924304 e 475315994, que são as chaves de fronteira a abrir para isolar a falta.
- Isolamento da falta: abr",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT03,hard,CBI24982-CBI24896-CBI24963-CBI24970-TRG959,2,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,12966,390,13356,1,2347,9.168,0.051,9.219,0,0,,"Resumo para o operador:

- Falta permanente no trecho 23718413 do CTMT CBI24982, com religador 1422423 aberto.
- Clientes sem tensão: 0 (nenhum cliente afetado).
- Isolamento da falta: abrir as chaves de fronteira 1422423 (religador) e 1620681.
- Opções de restauração: não há opções viáveis para rel",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT01,hard,RCP33308-RCP9882,2,1,"""757513244""","[""757513244""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,42524,484,43008,1,65563,10.857,0.662,11.519,0,0,,"Resumo para o operador:

- Falta permanente no trecho 12320339 do CTMT RCP33308, com religador 10924927 aberto e não religando.
- Clientes sem tensão: 2809 (2807 UCBT, 2 UCMT, 23 trafos).
- Isolamento da falta: abrir as chaves de fronteira 10924927 e 459157439 para isolar o trecho com falta.
- Opção",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT03,hard,CBI24982-CBI24896-CBI24963-CBI24970-TRG959,1,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,13034,421,13455,1,2490,8.337,0.051,8.388,0,0,,"Resumo para o operador:

- Falta permanente no trecho 23718413 do CTMT CBI24982, com religador 1422423 aberto.
- Clientes sem tensão: 0 (zero).
- Localização da falta: zona com 21 nós e 20 trechos, sem clientes desligados.
- Isolamento da falta: abrir as chaves de fronteira 1422423 e 1620681; o reli",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT08,hard,COP2700,2,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,12968,413,13381,1,2671,8.843,0.036,8.879,0,0,,"Resumo para o operador:

- Falta permanente no trecho 164481985 do CTMT COP2700, com religador 156275881 aberto e não religando.
- Clientes sem tensão: 1983 UCBT (total 1983 clientes).
- Isolamento da falta: abrir as chaves de fronteira 473314771 e 518809677, mantendo o religador 156275881 aberto.
-",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT09,hard,LBN00061,2,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,12747,401,13148,1,2343,8.51,0.028,8.538,0,0,,"Resumo para o operador:

- Falta permanente no trecho 294042270 do CTMT LBN00061, com religador 283702119 aberto.
- Clientes sem tensão: 374 UCBT, 0 UCMT, 7 trafos, totalizando 374 clientes afetados.
- Isolamento da falta: abrir as chaves de fronteira 283702119 (religador) e 55816220.
- Opções de re",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT08,hard,COP2700,3,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,12961,435,13396,1,2670,8.828,0.028,8.856,0,0,,"Resumo para o operador:

- Falta permanente no trecho 164481985 do CTMT COP2700, com religador 156275881 aberto e não religando.
- Clientes sem tensão: 1983 no total, sendo 1492 na zona da falta e 491 desligados após isolamento.
- Isolamento da falta: abrir as chaves de fronteira 473314771 e 5188096",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT04,hard,AVD33625-AVD33340-AVD33357-GDN0011,1,1,"""11138583""","[""11138583""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,25681,467,26148,1,26474,9.709,2.014,11.724,0,0,,"Resumo para o operador:

- Falta permanente no trecho 287306161 do CTMT AVD33625, com religador 10924157 aberto e não religando.
- Clientes sem tensão: 65 no total (59 UCBT, 6 UCMT, 7 trafos, 420 kVA).
- Isolamento da falta: abrir as chaves de fronteira 11101962 e 96696864 para isolar o trecho com f",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
FT07,hard,BPD9350,2,1,null,[],"[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,0,4,12662,346,13008,1,2145,6.534,0.052,6.586,0,0,,"Resumo para o operador:

- Falta permanente no trecho 32750469 do CTMT BPD9350, com religador 10926642 aberto e não religando.
- Clientes sem tensão: 2948 UCBT, 0 UCMT, 14 trafos, total 2948 clientes afetados.
- Localização da falta indica zona com 121 nós e 654 nós sem tensão.
- Isolamento da falta",openai,fora-treino-k3,gpt-4.1-mini-2025-04-14,1,1,92,2026-09-12T00:33:40+00:00
