CodEmpreendimento,Municipio,CTMT,PotenciaKW_MMGD,PotenciaKW_BDGD,DeltaKW_MMGD_menos_BDGD
GD.RJ.001.182.928,Duque de Caxias,CXS007,7.0,7000.0,-6993.0
GD.RJ.001.182.929,Rio de Janeiro,TQR33830,5.0,5000.0,-4995.0
GD.RJ.000.329.177,Paraíba do Sul,TRS014,1000.0,72.0,928.0
GD.RJ.000.137.042,Nova Iguaçu,ABR009,6.0,360.0,-354.0
GD.RJ.000.189.525,Rio de Janeiro,FND3262,3.96,330.0,-326.04
GD.RJ.000.069.645,Três Rios,TRS008,8.2,330.0,-321.8
GD.RJ.000.088.513,Rio das Flores,CEN003,750.0,1000.0,-250.0
GD.RJ.001.916.343,Rio de Janeiro,CCD3348,35.2,259.96,-224.76
GD.RJ.000.350.494,Rio de Janeiro,AFR004,98.4,272.0,-173.6
GD.RJ.000.069.620,Paraíba do Sul,TRS005,1.32,132.0,-130.68
GD.RJ.000.189.505,Rio de Janeiro,HMT3144,147.0,30.0,117.0
GD.RJ.000.056.790,Volta Redonda,RTO002,20.0,105.0,-85.0
GD.RJ.000.001.386,Miguel Pereira,CEN002,3.18,75.0,-71.82
GD.RJ.000.040.860,Mesquita,NIG014,3.18,75.0,-71.82
GD.RJ.002.376.521,Nova Iguaçu,RFR004,75.0,4.0,71.0
GD.RJ.002.008.126,Nova Iguaçu,CRM0012,75.0,5.0,70.0
GD.RJ.002.032.714,Nova Iguaçu,CRM0012,75.0,5.0,70.0
GD.RJ.002.059.464,Nova Iguaçu,CRM0012,75.0,5.0,70.0
GD.RJ.002.164.321,Rio de Janeiro,STS003,75.0,8.0,67.0
GD.RJ.003.222.781,Sapucaia,SPC001,75.0,8.0,67.0
GD.RJ.000.014.112,Rio de Janeiro,JDB807,9.0,75.0,-66.0
GD.RJ.001.898.206,Três Rios,TRS006,15.0,75.0,-60.0
GD.RJ.001.915.105,Queimados,QMD009,760.0,700.0,60.0
GD.RJ.003.223.759,Nova Iguaçu,CRM0010,375.0,435.0,-60.0
GD.RJ.000.350.704,Rio de Janeiro,ITP24007,300.0,242.78,57.22
