ordem_sorteio,ctmt,regiao,porte,n_trechos,trecho_falta,n_ties,n_opcoes,score_viaveis,vizinhos,cluster,esperado
1,RCP33308,Tijuca,G,1066,12320339,1,1,1,RCP9882,RCP33308-RCP9882,757513244
2,SAT1960,Centro,P,65,12416163,0,0,0,SAT9523,SAT1960-SAT9523,
3,CBI24982,Méier,M,394,23718413,5,0,0,CBI24896;CBI24963;CBI24970;TRG959,CBI24982-CBI24896-CBI24963-CBI24970-TRG959,
4,AVD33625,Barra/Recreio,P,252,287306161,5,4,4,AVD33340;AVD33357;GDN0011,AVD33625-AVD33340-AVD33357-GDN0011,11138583
5,ITP00005,Barra/Recreio,M,380,92794304,2,2,1,ITP33172,ITP00005-ITP33172,456765966
6,PDG33010,Jacarepaguá/Taquara,M,464,12311381,7,7,5,PDG219;PDG29015;PDG29724;PDG29731;PDG33499;PDG33662;TQR00005,PDG33010-PDG219-PDG29015-PDG29724-PDG29731-PDG33499-PDG33662-TQR00005,11009531
7,BPD9350,Lapa/Glória,G,645,32750469,0,0,0,,BPD9350,
8,COP2700,Copacabana/Leme,M,401,164481985,0,0,0,,COP2700,
9,LBN00061,Ipanema/Leblon,P,279,294042270,0,0,0,,LBN00061,
10,PTS9310,Ipanema/Leblon,G,870,12827915,0,0,0,PTS0001,PTS9310-PTS0001,
