CONJ_CODIGO,CONJ_NOME,alimentadores,empreendimentos_mmgd,potencia_kw_mmgd,potencia_kw_bdgd_total,kVA_instalado_total,penetracao_gd_pct,fonte_predominante
15074,CENTENARIO AEREO AT/MT,3,1089,27327.62,43647.979,206290.0,13.247186000290853,UFV — Radiação solar
15091,SAPUCAIA,5,643,26655.500000000004,35478.366,132430.0,20.127992146794536,UFV — Radiação solar
15043,SEROPEDICA AEREO,7,697,26587.73,32325.737,228312.5,11.64532384341637,UFV — Radiação solar
15089,CENTENARIO AEREO MT/MT,3,522,25398.51,42506.927,160825.0,15.792637960516089,UFV — Radiação solar
15006,BRISA MAR,4,335,22513.83,27850.055,87125.0,25.84083787661406,UFV — Radiação solar
15090,SANTA CECILIA AEREO MT/MT,6,537,22508.33,37508.953,155800.0,14.44693838254172,UFV — Radiação solar
15087,TRES RIOS AEREO AT/MT,9,805,21908.949999999997,23791.353000000003,147150.0,14.888854909955825,UFV — Radiação solar
15088,TRES RIOS AEREO MT/MT,4,418,20689.9,22924.663,107847.5,19.184403903660264,UFV — Radiação solar
14999,RECREIO,17,2512,20564.46,23500.687,188490.0,10.910106636956868,UFV — Radiação solar
16902,PORTA DAGUA AEREO,23,2552,19965.15,36997.282,240140.0,8.313962688431749,UFV — Radiação solar
15029,JABOATAO AEREO,23,2533,18233.750000000004,18498.363999999998,193470.0,9.424587791388849,UFV — Radiação solar
15086,VOLTA REDONDA AEREO MT/MT,4,666,16934.199999999997,30673.630999999998,143200.0,11.825558659217876,UFV — Radiação solar
15023,TAQUARA AEREO,21,1766,14935.210000000001,20759.717999999997,191621.4,7.79412424708305,UFV — Radiação solar
15011,CACHAMORRA,19,1930,14576.720000000001,15128.218,160605.0,9.076130880109586,UFV — Radiação solar
15004,ALVORADA,26,1021,13243.14,13520.188999999998,155682.5,8.506505226984407,UFV — Radiação solar
15084,VOLTA REDONDA AEREO AT/MT,14,1579,11848.66,12470.430000000002,119055.0,9.952257360043678,UFV — Radiação solar
15007,FONTINELE,14,928,11776.630000000001,13445.132999999998,93245.0,12.629771033299372,UFV — Radiação solar
16899,ESPERANCA AEREO AT/MT,19,756,11745.42,17386.632,169490.3,6.929847902800338,UFV — Radiação solar
15692,NOVA IGUACU,28,1205,11664.61,12220.608,236852.5,4.924841409738129,UFV — Radiação solar
15066,ITAPEBA AEREO URBANO,17,1207,11511.66,12387.473999999998,139907.5,8.228050676339725,UFV — Radiação solar
14991,CAMARA,23,1161,9893.21,10389.414,167851.5,5.894025373618942,UFV — Radiação solar
15700,CAXIAS AEREO,23,1006,9836.09,17945.174,169192.5,5.813549654978797,UFV — Radiação solar
14995,RETIRO,13,1050,9182.29,9836.679000000002,93027.5,9.870511407917014,UFV — Radiação solar
15048,COMENDADOR SOARES,16,1138,9005.21,9534.77,151007.5,5.96341903547837,UFV — Radiação solar
16900,PACIENCIA,16,888,8556.64,8880.06,216465.0,3.952897697087289,UFV — Radiação solar
15013,BARRA AEREO,15,871,8517.32,8993.320999999998,133347.5,6.387311348169257,UFV — Radiação solar
15054,AREIA BRANCA AEREO,22,936,8118.42,8654.182999999999,198200.0,4.096074672048436,UFV — Radiação solar
15040,GOVERNADOR AEREO,11,928,8111.17,8846.74,79025.0,10.264055678582727,UFV — Radiação solar
14996,ROSALI,26,770,7957.620000000001,8483.854,155437.5,5.119498190591075,UFV — Radiação solar
16901,CURICICA AEREO,24,694,7510.61,7946.25,154925.0,4.847900597063095,UFV — Radiação solar
15057,MENA BARRETO AEREO,21,1010,7452.0,7752.028,161470.0,4.615098779959125,UFV — Radiação solar
16898,MATO ALTO,3,598,7432.4800000000005,8080.428000000001,101477.5,7.3242639994087355,UFV — Radiação solar
15003,VIGARIO,2,263,7431.85,12847.13,66555.0,11.16647885207723,UFV — Radiação solar
15010,ARI FRANCO,15,790,7357.93,7728.93,141867.5,5.186480342573176,UFV — Radiação solar
15034,CASCADURA AEREO,27,614,6921.37,7765.416000000001,186405.0,3.7130817306402726,UFV — Radiação solar
15032,VILA VALQUEIRE,12,851,6698.500000000001,7146.525,98690.0,6.787415138311887,UFV — Radiação solar
15694,ITAGUAI,10,687,6679.25,9901.127,81372.5,8.208239884481857,UFV — Radiação solar
15019,PADRE MIGUEL,20,896,6466.900000000001,7042.726000000001,121198.9,5.335774499603544,UFV — Radiação solar
15042,SANTISSIMO AEREO,6,795,6319.63,6459.650000000001,167534.5,3.772136485320934,UFV — Radiação solar
15027,CACHAMBI AEREO,24,698,6111.68,6386.171,141260.0,4.326546793147388,UFV — Radiação solar
15000,SARAPUI,15,466,5478.040000000002,5792.246000000001,131402.5,4.1689008961016745,UFV — Radiação solar
15037,GUANABARA AEREO,15,748,5450.289999999999,5544.36,98967.5,5.507151337560309,UFV — Radiação solar
16897,COSMOS,13,699,5347.5599999999995,8821.560000000001,117357.5,4.556641032741836,UFV — Radiação solar
15052,SANTA CLARA AEREO,13,528,5016.88,5192.139999999999,99812.5,5.0263043206011275,UFV — Radiação solar
15691,CARMARI,10,606,4976.28,5504.0,95542.5,5.208446502865217,UFV — Radiação solar
15061,PEDRO ERNESTO AEREO,29,430,4950.7300000000005,5291.116,114415.0,4.326993838220513,UFV — Radiação solar
16903,GARDENIA,18,235,4775.91,5031.633,95158.2,5.018915868522103,UFV — Radiação solar
15035,COELHO DA ROCHA,13,497,4590.3,4801.794999999999,84525.0,5.430700976042591,UFV — Radiação solar
15045,AGUA GRANDE AEREO,13,495,4497.200000000001,4642.03,91527.5,4.913495943842015,UFV — Radiação solar
15071,JARDIM BOTANICO AEREO,27,484,4480.1900000000005,5702.9169999999995,122072.5,3.670105879702636,UFV — Radiação solar
15070,ESPERANCA AEREO MT/MT,1,120,4383.65,6060.702,30350.0,14.443657331136736,UFV — Radiação solar
15062,VIGARIO GERAL AEREO,16,372,4305.25,4634.103,86262.5,4.990870888277061,UFV — Radiação solar
15002,TURIACU,13,505,4291.990000000001,4333.46,92122.5,4.659002958017857,UFV — Radiação solar
15021,COLEGIO AEREO,15,424,4220.34,4483.032999999999,95182.5,4.433945315577969,UFV — Radiação solar
15001,SAUDADE,2,320,4134.93,4244.2,64327.5,6.427935175469278,UFV — Radiação solar
14997,INMETRO,8,460,4063.2200000000003,4286.047,57010.0,7.1272057533766,UFV — Radiação solar
14998,PIEDADE,11,476,4025.34,4477.814,97897.5,4.1117903930131,UFV — Radiação solar
14994,PAVUNA,19,563,4019.5400000000004,4495.946,129182.5,3.111520523290694,UFV — Radiação solar
15031,MATURACA AEREO,14,479,4013.27,4131.83,92995.0,4.315576106242271,UFV — Radiação solar
15689,BARRA 2,20,304,3835.68,3892.2400000000002,102460.0,3.7435877415576813,UFV — Radiação solar
15058,RIO COMPRIDO AEREO,24,441,3769.65,3861.0199999999995,160555.0,2.347887016910093,UFV — Radiação solar
15698,QUEIMADOS AEREO,5,134,3686.71,4148.855,109097.5,3.3792800018332225,UFV — Radiação solar
14993,MERITI,18,432,3658.4000000000005,3953.972,78845.0,4.639989853510052,UFV — Radiação solar
15073,WASHINGTON LUIS AEREO,16,323,3531.54,4341.785,116402.5,3.0339039109984753,UFV — Radiação solar
