tarefa,nivel,cluster,repeticao,acerto,obtido,esperado,sequencia,referencia,ordem,precisao,rodadas,tokens_prompt,tokens_completion,tokens_total,tokens_informados,chars_ferramentas,segundos_llm,segundos_ferramentas,segundos_total,replanejamentos,recusas,erro,resposta,provider,modelo,exemplos,compactado,seed,data
H01,hard,tijuca,1,1,"""974020904""","[""974020904"", ""529355823""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,4,25082,500,25582,1,24916,22.846,6.95,29.796,0,0,,"Resumo para o operador:

- Falta permanente no trecho 11304252 do CTMT ALC9925, com religador 10927447 aberto.
- Clientes sem tensão: 4042 (4036 UCBT, 6 UCMT, 63 trafos, 8960 kVA).
- Isolamento da falta: abrir as chaves de fronteira 10927447 e 11035901; religador não religa após isolamento.
- Opções",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H01,hard,tijuca,2,1,"""974020904""","[""974020904"", ""529355823""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,4,25145,533,25678,1,25052,20.934,7.22,28.155,0,0,,"Resumo para o operador:

- Falta permanente no trecho 11304252 do CTMT ALC9925, com religador 10927447 aberto e 4042 clientes (4036 UCBT, 6 UCMT) sem tensão.
- Isolamento da falta: abrir as chaves de fronteira 10927447 e 11035901; religador não pode religar após isolamento.
- Foram encontradas 10 op",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H01,hard,tijuca,3,1,"""974020904""","[""974020904"", ""529355823""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,4,25062,547,25609,1,24928,22.229,7.191,29.421,0,0,,"Resumo para o operador:

- Falta permanente no trecho 11304252 do CTMT ALC9925, religador 10927447 aberto, 4042 clientes (4036 UCBT, 6 UCMT) sem tensão.
- Localização da falta indica zona com 35 nós e 356 nós sem tensão, chaves de fronteira a abrir: 10927447 (religador) e 11035901.
- Isolamento da f",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H01,hard,tijuca,4,1,"""974020904""","[""974020904"", ""529355823""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,4,25097,507,25604,1,24964,19.89,7.411,27.302,0,0,,"Resumo para o operador:

- Falta permanente no trecho 11304252 do CTMT ALC9925, religador 10927447 aberto.
- Clientes sem tensão: 4042 (4036 UCBT, 6 UCMT, 63 trafos, 8960 kVA).
- Isolamento: abrir as chaves de fronteira 10927447 e 11035901 para isolar a falta.
- Opções de restauração: existem 10 opç",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H01,hard,tijuca,5,1,"""974020904""","[""974020904"", ""529355823""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]","[""locate_fault"", ""isolate_fault"", ""restore_options"", ""propose_plan""]",1.0,1.0,4,25175,530,25705,1,25124,21.453,7.128,28.581,0,0,,"Resumo para o operador:

- Falta permanente no trecho 11304252 do CTMT ALC9925, com religador 10927447 aberto e 4042 clientes sem tensão (4036 UCBT e 6 UCMT).
- Isolamento da falta: abrir as chaves de fronteira 10927447 e 11035901; religador não pode religar após isolamento.
- Foram encontradas 10 o",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H02,hard,tijuca,1,1,46.0,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,3,10609,318,10927,1,6209,14.412,7.687,22.1,0,0,,"A margem do disjuntor da melhor opção viável de restauração, segundo o gêmeo elétrico, é de 46,0%. Essa opção corresponde à chave 974020904 no CTMT ALC9946, que recupera 4042 clientes (4036 UCBT e 6 UCMT) sem tensão, com tensão mínima de 1,0271 pu e sem sobrecargas. 

Resumo para o operador:
- Falta",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H02,hard,tijuca,2,1,46.0,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,3,10609,169,10778,1,6209,15.594,7.587,23.181,0,0,,"A margem do disjuntor da melhor opção viável de restauração, segundo o gêmeo elétrico, é de 46,0%. Essa opção corresponde à chave 974020904 no CTMT ALC9946, que recupera todos os 4042 clientes sem tensão, com tensão mínima em MT de 1,0271 pu e sem sobrecargas. Existem 10 opções de restauração, sendo",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H02,hard,tijuca,3,1,46.0,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,3,10609,331,10940,1,6209,15.11,8.203,23.313,0,0,,"A margem do disjuntor da melhor opção viável de restauração, segundo o gêmeo elétrico, é de 46,0%. 

Resumo para o operador:
- Falta registrada no trecho 11304252, religador 10927447 aberto.
- Clientes sem tensão: 4042 (4036 UCBT e 6 UCMT).
- Isolamento: abrir as chaves de fronteira 10927447 e 11035",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H02,hard,tijuca,4,1,46.0,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,3,10609,337,10946,1,6209,14.771,7.537,22.308,0,0,,"A margem do disjuntor da melhor opção viável de restauração, segundo o gêmeo elétrico, é de 46,0%. Essa opção corresponde à chave 974020904 no CTMT ALC9946, que recupera 4042 clientes (4036 UCBT e 6 UCMT) sem tensão, com tensão mínima em MT de 1,0271 pu e sem sobrecargas. 

Resumo para o operador:
-",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
H02,hard,tijuca,5,1,46.0,45.978043127965336,"[""locate_fault"", ""isolate_fault"", ""restore_options""]","[""locate_fault"", ""isolate_fault"", ""restore_options""]",1.0,1.0,3,10609,341,10950,1,6208,14.99,7.145,22.135,0,0,,"A margem do disjuntor da melhor opção viável de restauração, segundo o gêmeo elétrico, é de 46,0%. Essa opção corresponde à chave 974020904 no CTMT ALC9946, que recupera 4042 clientes (4036 UCBT e 6 UCMT) sem tensão, com tensão mínima em MT de 1,0271 pu e sem sobrecargas. 

Resumo para o operador:
-",openai,gpt-4.1-mini-2025-04-14,1,1,,2026-09-11T19:06:39+00:00
