grupo,caso,descricao,cluster,origem,ctmt_principal,ctmts_cluster,trecho_falta,criterio_falta,modelo_carga,fas_con,loadmult,trocas_fas_con,n_opcoes,n_viaveis,decisao,tipo_decisao,virou_decisao,opcao_score,fonte_score,score_viavel,margem_disjuntor,i_disjuntor_a,i_nominal_a,vmin_mt_pu,vmin_mt_barra,vmax_mt_pu,vmax_mt_barra,carregamento_max_mt_pct,perdas_kw,motivos,ajustes
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,cadastrado,0.6,0,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.6701242293376212,195.12151834679707,591.5,1.0341919757305074,alc9925_mt_876330,1.044999012387757,alc9946_mt_50518,51.259738223444685,424.3649575180709,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,cadastrado,0.8,0,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.5641281015713365,257.8182279205545,591.5,1.030644440314203,alc9925_mt_876330,1.044998665541048,alc9946_mt_50518,67.77918913475158,597.1311034858078,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,cadastrado,1.0,0,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.4597804255690088,319.5398782759313,591.5,1.0271172169561333,alc9925_mt_876330,1.0449983140445689,alc9946_mt_50518,84.06150236339968,803.6444861960326,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,cadastrado,1.2,0,10,2,746851189,restaurar,True,746851189,RCP9882,True,0.04607496956095159,417.91455583534713,438.1,1.013221844282525,alc9925_mt_453329,1.044997833171691,rcp9882_mt_50508,95.96268770475815,1063.376793949133,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,cadastrado,1.4,0,10,0,sem transferência,sem_opcao_viavel,True,974020904,ALC9946,False,0.25543822477522415,440.4082900454549,591.5,1.0201632605687536,alc9925_mt_876330,1.0449975944974883,alc9946_mt_50518,115.98117778001152,1297.916418417566,"14 trecho(s) MT acima de 100 % (Line.smt_10968944 116 %, Line.smt_10968722 116 %, Line.smt_10968716 116 %)",vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,rebalanceado,0.6,2909,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.6696120584206219,195.42446744420215,591.5,1.0340987930287047,alc9925_mt_876330,1.0449990198089107,alc9946_mt_50518,51.48004555252323,418.73221560239165,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,rebalanceado,0.8,2909,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.5635109886787756,258.1832501965043,591.5,1.0305232419370223,alc9925_mt_876330,1.0449986749611275,alc9946_mt_50518,68.06880035651913,587.6735189244579,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,rebalanceado,1.0,2909,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.4588196957283239,320.10814997669644,591.5,1.0269586217167965,alc9925_mt_876330,1.0449983258124433,alc9946_mt_50518,84.47603719073668,789.9830965711928,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,rebalanceado,1.2,2909,10,2,746851189,restaurar,True,746851189,RCP9882,True,0.04195095857796032,419.7212850469956,438.1,1.012951054772777,alc9925_mt_453329,1.044997854389309,rcp9882_mt_50508,96.37755444361186,1045.8987295944933,,vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,curva,rebalanceado,1.4,2909,10,0,sem transferência,sem_opcao_viavel,True,974020904,ALC9946,False,0.2540291857810757,441.2417366104937,591.5,1.0199273215772104,alc9925_mt_876330,1.044997608593746,alc9946_mt_50518,116.5949876741105,1276.3621837562448,"14 trecho(s) MT acima de 100 % (Line.smt_10968944 117 %, Line.smt_10968722 117 %, Line.smt_10968716 117 %)",vminpu=0.9
cenario,tijuca_cabofrio_tronco,"Falta permanente no tronco de ALC9925 LDA CABOFRIO (SE Aldeia Campista): isolar abrindo 10927447 e 11035901; 4.036 UCBT restauráveis por ALC9946, RCP9882 ou URG29983 — o gêmeo ranqueia as três SEs.",tijuca,cenário tijuca,ALC9925,ALC9925;RCP9882;ALC9946;URG29983,11304252,cenário nomeado,nominal,cadastrado,0.6,0,10,4,974020904,restaurar,False,974020904,ALC9946,True,0.4857337380760296,304.1884939280285,591.5,1.0277771267454299,alc9925_mt_876330,1.044998435108307,alc9946_mt_50518,81.24055979561646,710.9793277473957,,vminpu=0.9
